station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
107440,Eggegrund A,2,60.7304,17.5612,10/1/1995 0:00,10/1/2016 9:00,5
107450,Utvalnäs Aut,2,60.7547,17.3574,1/1/1991 0:00,11/1/1995 23:59,5
107530,Västra Banken Aut,2,60.88,17.93,6/1/1970 0:00,9/30/1970 18:00,5
108100,Singö,2,60.1595,18.7436,9/1/1967 0:00,1/31/1996 23:59,12
108110,Risinge,2,60.175,18.2272,2/1/1962 0:00,8/31/2016 23:59,15
108170,Understen,2,60.2761,18.9227,12/1/1988 0:00,8/31/1992 23:59,12
108300,Grundkallen,2,60.5,18.8666,1/1/1965 0:00,11/30/1979 23:59,23
108320,Örskär A,2,60.5262,18.3766,11/21/1995 0:00,10/1/2016 9:00,8
108640,Öregrund,2,60.3333,18.4333,7/1/1949 0:00,8/31/1967 23:59,7
112080,Rörbäcksnäs,2,61.1269,12.8226,2/1/1968 0:00,3/31/1970 23:59,455
112170,Grundforsen,2,61.2797,12.8568,1/1/1961 0:00,5/29/2013 18:00,412
112510,Flötningen,2,61.8526,12.2689,12/1/1969 0:00,2/28/1986 23:59,670
112530,Idre-Storbo V,2,61.8691,12.3024,4/1/1996 0:00,4/30/1997 23:59,660
112540,Idre Fjäll A,2,61.8892,12.8542,11/1/1995 0:00,10/1/2016 9:00,869
113070,Sälen-Högfjället V,2,61.15829,13.11383,3/1/1996 0:00,10/1/2016 9:00,751
113100,Sälen,2,61.1691,13.2593,1/1/1969 0:00,3/31/2009 23:59,360
113110,Tandådalen Aut,2,61.1766,13.0164,5/1/1985 0:00,2/20/1998 23:59,830
113410,Särna,2,61.6912,13.1589,4/6/1957 0:00,10/31/1973 23:59,441
113420,Särna A,2,61.6912,13.1865,11/1/2000 0:00,10/1/2016 9:00,425
113610,Storfjället-Sälen,2,61.1666,13.1166,1/1/1966 0:00,5/31/1967 23:59,770
114010,Mora,2,61.0025,14.5874,9/1/1975 0:00,3/9/1977 23:59,190
114140,Älvdalen A,2,61.2542,14.0383,8/1/1995 0:00,10/1/2016 9:00,252
114160,Älvdalen II,2,61.2555,14.0375,1/26/1996 6:00,6/30/1996 23:59,250
114270,Kvarnberg,2,61.4446,14.8744,1/1/1965 0:00,1/31/1973 23:59,434
114330,Kräckelbäcken,2,61.55,14.2,10/1/1968 0:00,11/30/1977 23:59,670
114360,Ulvsjö,2,61.6022,14.1847,1/1/1978 0:00,9/30/2016 23:59,585
114390,Lillhamra,2,61.6408,14.8015,2/1/1962 0:00,2/28/1962 23:59,424
114400,Hamra,2,61.6577,14.9943,3/1/1973 0:00,11/30/1995 23:59,440
114410,Hamra A,2,61.6606,14.9948,12/15/1995 0:00,10/1/2016 9:00,454
114510,Lillhärdal,2,61.8547,14.0921,2/1/2008 0:00,9/30/2016 23:59,440
114630,Noppikoski,2,61.5,14.85,1/1/1965 0:00,9/30/1967 23:59,340
115040,Dalstuga,2,61.0666,15.7,10/1/1970 0:00,8/31/1977 23:59,240
115050,Svabensverk,2,61.0442,15.7921,10/1/1977 0:00,8/31/1978 23:59,240
115220,Edsbyn A,2,61.3613,15.7175,1/1/1996 0:00,10/1/2016 9:00,184
115230,Edsbyn,2,61.3784,15.8352,1/1/1951 0:00,1/31/1974 23:59,189
116230,Röstebo,2,61.3882,16.4295,7/1/1995 0:00,9/30/2012 23:59,115
116240,Dönje,2,61.395,16.4145,3/1/1969 0:00,6/30/1995 23:59,85
116430,Järvsö,2,61.7111,16.1667,10/1/2013 0:00,9/30/2016 23:59,140
116480,Delsbo,2,61.7854,16.5505,1/1/1967 0:00,11/30/1995 23:59,88
116490,Delsbo A,2,61.8271,16.5418,12/1/1995 0:00,10/1/2016 9:00,70
116500,Ljusdal,2,61.8333,16.1333,1/1/1962 0:00,12/31/1975 23:59,140
116650,Bjuråker,2,61.85,16.5833,1/1/1949 0:00,12/31/1966 23:59,66
117160,Söderhamn A,2,61.2691,17.0983,9/1/2001 0:00,1/3/2012 23:59,26
117170,Söderhamn,2,61.3198,17.0967,5/1/1999 0:00,3/31/2004 23:59,10
117330,Agö,2,61.55,17.4666,1/1/1949 0:00,10/31/1973 23:59,20
117370,Hölick,2,61.6239,17.4401,6/1/1987 0:00,10/31/1995 23:59,5
117420,Kuggören,2,61.7027,17.5225,7/1/1970 0:00,5/31/1987 23:59,2
117430,Kuggören A,2,61.7033,17.525,12/15/1995 0:00,10/1/2016 9:00,8
117440,Hudiksvall,2,61.7167,17.086,4/26/1993 0:00,6/30/1996 23:59,10
117610,Storjungfrun,2,61.1666,17.3333,1/1/1961 0:00,7/31/1964 23:59,10
118610,Finngrundets Fyrskepp,2,61.0666,18.6833,1/1/1961 0:00,6/30/1969 23:59,5
122260,Tännäs A,2,62.4502,12.6702,11/21/1995 0:00,10/1/2016 9:00,723
122330,Ljusnedal,2,62.5493,12.6043,1/1/1961 0:00,9/30/2016 23:59,585
122360,Fjällnäs,2,62.5772,12.2223,7/9/1969 0:00,1/31/1996 23:59,780
122430,Flatruet V,2,62.72909,12.7264,3/1/1996 0:00,10/1/2016 9:00,932
122610,Grövelsjön,2,62.0991,12.3153,7/1/1966 0:00,4/30/1969 23:59,815
123060,Dravagen A,2,62.0943,13.6115,10/26/1995 0:00,10/1/2016 9:00,566
123070,Lofsdalen,2,62.1132,13.2841,10/1/1984 0:00,9/30/1995 23:59,610
